Datetime,Open,High,Low,Close
2023-07-03 00:00:00,1.09123,1.09123,1.09111,1.09111
2023-07-03 00:05:00,1.09123,1.09123,1.09123,1.09123
2023-07-03 00:10:00,1.09135,1.09135,1.09123,1.09123
2023-07-03 00:15:00,1.09123,1.09123,1.09123,1.09123
2023-07-03 00:20:00,1.09123,1.09123,1.09123,1.09123
2023-07-03 00:25:00,1.09123,1.09123,1.09111,1.09111
2023-07-03 00:30:00,1.09111,1.09111,1.09099,1.09111
2023-07-03 00:35:00,1.09099,1.09111,1.09099,1.09111
2023-07-03 00:40:00,1.09111,1.09111,1.09111,1.09111
2023-07-03 00:45:00,1.09123,1.09135,1.09123,1.09135
2023-07-03 00:50:00,1.09123,1.09123,1.09111,1.09111
2023-07-03 00:55:00,1.09111,1.09111,1.09099,1.09111
2023-07-03 01:00:00,1.09087,1.09111,1.09087,1.09111
2023-07-03 01:05:00,1.09099,1.09123,1.09099,1.09123
2023-07-03 01:10:00,1.09123,1.09123,1.09111,1.09123
2023-07-03 01:15:00,1.09123,1.09123,1.09099,1.09099
2023-07-03 01:20:00,1.09099,1.09099,1.09087,1.09099
2023-07-03 01:25:00,1.09099,1.09111,1.09087,1.09111
2023-07-03 01:30:00,1.09099,1.09111,1.09099,1.09111
2023-07-03 01:35:00,1.09099,1.09099,1.09099,1.09099
2023-07-03 01:40:00,1.0917,1.0917,1.09087,1.09087
2023-07-03 01:45:00,1.09087,1.09087,1.09063,1.09063
2023-07-03 01:50:00,1.09063,1.09063,1.09051,1.09063
2023-07-03 01:55:00,1.09063,1.09063,1.09039,1.09051
2023-07-03 02:00:00,1.09051,1.09075,1.09051,1.09063
2023-07-03 02:05:00,1.09075,1.09075,1.09063,1.09075
2023-07-03 02:10:00,1.09075,1.09075,1.09051,1.09075
2023-07-03 02:15:00,1.09099,1.09099,1.09099,1.09099
2023-07-03 02:20:00,1.09087,1.09087,1.09075,1.09075
2023-07-03 02:25:00,1.09087,1.09087,1.09087,1.09087
