,Open,High,Low,Close
2010-01-01,1.43271,1.4402,1.43271,1.43899
2010-01-04,1.431,1.44519,1.42621,1.4424
2010-01-05,1.44271,1.44831,1.43519,1.4366
2010-01-06,1.4366,1.44346,1.42912,1.4404
2010-01-07,1.4403,1.44448,1.43021,1.4318
2010-01-08,1.43209,1.44361,1.4271,1.44111
2010-01-11,1.44649,1.45543,1.44649,1.45113
2010-01-12,1.45089,1.45438,1.44596,1.44766
2010-01-13,1.44781,1.4577,1.44586,1.45239
2010-01-14,1.45241,1.4552,1.44626,1.44999
2010-01-15,1.44991,1.45041,1.43458,1.4391
2010-01-18,1.43724,1.44067,1.43369,1.44067
2010-01-19,1.44051,1.4414,1.4257,1.4281
2010-01-20,1.42841,1.429,1.40871,1.41103
2010-01-21,1.41111,1.41403,1.4031,1.4097
2010-01-22,1.40984,1.4182,1.40891,1.41411
2010-01-25,1.41541,1.41943,1.41311,1.41501
2010-01-26,1.41481,1.4179,1.40442,1.40823
2010-01-27,1.40809,1.40974,1.40017,1.4031
2010-01-28,1.403,1.40497,1.39499,1.3968
2010-01-29,1.39671,1.3987,1.38648,1.38669
2010-02-01,1.3876,1.39371,1.38558,1.3927
2010-02-02,1.39218,1.39762,1.38891,1.39762
2010-02-03,1.39758,1.40241,1.38862,1.39011
2010-02-04,1.39018,1.39061,1.37201,1.37449
2010-02-05,1.37448,1.37461,1.35881,1.36801
2010-02-08,1.3645,1.3714,1.36253,1.36547
2010-02-09,1.36567,1.38395,1.36509,1.37821
2010-02-10,1.37821,1.3811,1.36814,1.37533
2010-02-11,1.37501,1.37996,1.36001,1.36818
2010-02-12,1.36894,1.36894,1.35331,1.36349
2010-02-15,1.36281,1.3632,1.35831,1.3603
2010-02-16,1.35973,1.37777,1.35919,1.37671
2010-02-17,1.37654,1.37887,1.35923,1.36069
2010-02-18,1.36106,1.36532,1.34503,1.34615
2010-02-19,1.34706,1.36201,1.3457,1.36151
2010-02-22,1.3629,1.3653,1.35772,1.36056
2010-02-23,1.36062,1.36926,1.34978,1.3527
2010-02-24,1.35269,1.36219,1.35029,1.35432
2010-02-25,1.35446,1.357,1.34521,1.3536
2010-02-26,1.35375,1.36786,1.3536,1.3631
2010-03-01,1.36429,1.36539,1.34626,1.35621
2010-03-02,1.35597,1.36231,1.34452,1.36206
2010-03-03,1.36201,1.3734,1.35984,1.37016
2010-03-04,1.37013,1.3712,1.35575,1.3584
2010-03-05,1.35831,1.3629,1.35366,1.3629
2010-03-08,1.36411,1.37037,1.36104,1.36169
2010-03-09,1.36182,1.36359,1.35386,1.36069
2010-03-10,1.36093,1.36767,1.35487,1.36433
2010-03-11,1.36493,1.36879,1.36231,1.36853
2010-03-12,1.36849,1.37941,1.36735,1.37699
2010-03-15,1.37739,1.37739,1.36459,1.36775
2010-03-16,1.36737,1.37828,1.3661,1.37688
2010-03-17,1.3769,1.38165,1.3731,1.37383
2010-03-18,1.37349,1.374,1.3591,1.3614
2010-03-19,1.36123,1.36281,1.35049,1.35369
2010-03-22,1.35141,1.35691,1.34687,1.3567
2010-03-23,1.3567,1.35691,1.34649,1.3468
2010-03-24,1.347,1.34854,1.3308,1.3331
2010-03-25,1.333,1.33706,1.327,1.33071
2010-03-26,1.33071,1.34241,1.33028,1.341
2010-03-29,1.34481,1.35051,1.34214,1.34811
2010-03-30,1.34778,1.35349,1.34005,1.34241
2010-03-31,1.34241,1.35459,1.3388,1.3508
2010-04-01,1.35084,1.35912,1.34628,1.3584
2010-04-02,1.35833,1.35919,1.3478,1.35049
